rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1002/aisy.202400897,A Task and Motion Planning Framework for Partially Observable Household Manipulation Scenes,2025,Advanced Intelligent Systems,https://doi.org/10.1002/aisy.202400897,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2510.02526v1,"U-LAG: Uncertainty-Aware, Lag-Adaptive Goal Retargeting for Robotic Manipulation",2025,arXiv,http://arxiv.org/abs/2510.02526v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1002/oca.2550,The spectral linear filter method for a stochastic optimal control problem of partially observable systems,2020,Optimal Control Applications and Methods,https://doi.org/10.1002/oca.2550,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1016/j.cub.2021.07.054,Neurons of rat motor cortex become active during both grasping execution and grasping observation,2021,Current Biology,https://doi.org/10.1016/j.cub.2021.07.054,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2511.09516v1,MAP-VLA: Memory-Augmented Prompting for Vision-Language-Action Model in Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2511.09516v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1007/978-3-540-32256-6_48,Cooperative Planning and Plan Execution in Partially Observable Dynamic Domains,2005,Lecture Notes in Computer Science RoboCup 2004: Robot Soccer World Cup VIII,https://doi.org/10.1007/978-3-540-32256-6_48,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2405.18948v1,Learning to Recover from Plan Execution Errors during Robot Manipulation: A Neuro-symbolic Approach,2024,arXiv,http://arxiv.org/abs/2405.18948v1,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,https://doi.org/10.3390/sym18030394,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.3390/a17100436,Adaptive Compensation for Robotic Joint Failures Using Partially Observable Reinforcement Learning,2024,Algorithms,https://doi.org/10.3390/a17100436,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses partially observable manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Disappearing goal manipulation keeps action-critical alternatives explicit until a physical observation collapses them.
